offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
6575145208999797248	2014-12-12T00:00:00+03:00	2018-01-23T00:00:00+03:00	4750000.0	4	False	2	False	44.7	7.8	27.0		10.0	1	2	Россия, Санкт-Петербург, Северный проспект, 6к1	8731650932589992681
82733030858025985	2014-11-29T00:00:00+03:00	2018-08-18T00:00:00+03:00	3580000.0	1	False	2	False	45.0	6.0	38.0			1	2	Россия, Санкт-Петербург, улица Федосеенко, 25	8617361067497459064
5056587	2016-01-11T00:00:00+03:00	2016-05-23T00:00:00+03:00	2500000.0	7	False	1	True	29.0		19.5		10.0	1	2	Россия, Санкт-Петербург, проспект Королёва, 59к1	7373491244948375565
4516475083460817152	2018-07-23T00:00:00+03:00	2018-07-25T00:00:00+03:00	20000.0	4	False	1	False	27.0	6.5	15.0		3.0	2	2	Россия, Санкт-Петербург, Новоизмайловский проспект, 33	3580000356326122890
9030156106467319809	2018-08-05T00:00:00+03:00	2018-08-06T00:00:00+03:00	16000.0	12	False	0	True	24.0		17.0		7.0	2	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, Охтинская аллея, 2	5271618061216668482
5535931536685830747	2015-05-29T00:00:00+03:00	2018-08-16T00:00:00+03:00	2918383.0	14	False	0	True	27.1		14.13		5.0	1	2	Россия, Санкт-Петербург, проспект Просвещения, 43	6354249340138182854
8283057844222185729	2018-04-19T00:00:00+03:00	2018-08-20T00:00:00+03:00	28000.0	8	False	3	False	64.0					2	2	Россия, Санкт-Петербург, проспект Кузнецова, 25к2	2929603598081672611
7548414725278551040	2017-01-28T00:00:00+03:00	2017-01-30T00:00:00+03:00	33000.0	10	False	2	False	58.0	12.0	31.0	100.0	10.0	2	2	Россия, Санкт-Петербург, Кондратьевский проспект, 64к9	1081182048329084375
3367195771329319337	2016-07-04T00:00:00+03:00	2017-02-27T00:00:00+03:00	6800000.0	17	False	3	False	83.8	11.9	47.1		0.0	1	2	Россия, Санкт-Петербург, посёлок Парголово, улица Михаила Дудина, 25к2	4661483057276827066
7550703343332186207	2017-02-13T00:00:00+03:00	2018-02-07T00:00:00+03:00	3660000.0	8	False	1	False	40.0	10.0	20.0		0.0	1	2	Россия, Санкт-Петербург, проспект Луначарского, 108к1	9192400093779707558
8888174496707788544	2016-05-25T00:00:00+03:00	2016-07-06T00:00:00+03:00	2481000.0	26	False	1	False	35.11	9.39	15.32		3.0	1	2	Россия, Ленинградская область, Всеволожский район, поселок Мурино, Новая улица, 7к1	8174760494304345318
3856613897875375105	2018-05-11T00:00:00+03:00	2018-08-20T00:00:00+03:00	17000.0	6	False	1	False	32.0	7.0	17.0	80.0	3.0	2	2	Россия, Санкт-Петербург, Будапештская улица, 33	973001928865775524
4225875718464094720	2017-08-07T00:00:00+03:00	2018-02-07T00:00:00+03:00	2450000.0	4	False	1	False	37.0	9.0	19.7		7.0	1	2	Россия, Ленинградская область, Кировский район, Отрадное, Заводская улица, 13	1825046958537203374
1599737540485861377	2015-01-20T00:00:00+03:00	2018-08-20T00:00:00+03:00	4500000.0	9	False	3	False	73.7	8.3	43.4		3.0	1	2	Россия, Ленинградская область, Кировский район, Отрадное, улица Гагарина, 14	431179705441316121
6920131342506322945	2017-01-13T00:00:00+03:00	2017-04-11T00:00:00+03:00	5850000.0	4	False	2	False	53.3	8.0	33.6		2.0	1	2	Россия, Санкт-Петербург, улица Савушкина, 1	523651347712754410
